sg_uf;qt_votos_validos;qt_votos_brancos;dt_carga
AC;2406672;61727;11/09/2022 04:34
AL;8151401;563682;11/09/2022 04:34
AM;10269186;431565;11/09/2022 04:34
AP;2113134;61733;11/09/2022 04:34
BA;38247410;2312275;11/09/2022 04:34
CE;25476655;1735349;11/09/2022 04:34
DF;8518689;633831;11/09/2022 04:34
ES;11203060;797553;11/09/2022 04:34
GO;17446321;1242264;11/09/2022 04:34
MA;18195431;1026988;11/09/2022 04:34
MG;56946145;5056973;11/09/2022 04:34
MS;7212449;524369;11/09/2022 04:34
MT;8595589;613277;11/09/2022 04:34
PA;22355490;1078125;11/09/2022 04:34
PB;11258587;927071;11/09/2022 04:34
PE;23368676;2358986;11/09/2022 04:34
PI;9882424;500603;11/09/2022 04:34
PR;31500443;2663075;11/09/2022 04:34
RJ;44439124;3773799;11/09/2022 04:34
RN;9377964;593295;11/09/2022 04:34
RO;4447865;255787;11/09/2022 04:34
RR;1556618;38641;11/09/2022 04:34
RS;33703866;3365257;11/09/2022 04:34
SC;20853266;1707298;11/09/2022 04:34
SE;5789199;420494;11/09/2022 04:34
SP;116799144;12329505;11/09/2022 04:34
TO;4082316;146364;11/09/2022 04:34
ZZ;193381;5046;11/09/2022 04:34
